,Name,Medals
488,Ramon Salomon Miller,2
489,Shaunae Miller (-Uibo),1
490,Derek Bruce Mills,1
491,Jevaughn Minzie,1
492,Dennis Allen Mitchell,1
493,Manteo Mitchell,1
494,Nikole Alangia Mitchell,1
495,John Moffitt,1
496,Godfrey Khotso Mokoena,1
497,Avard Moncur,2
498,"Timothy ""Tim"" Montgomery",2
499,Jude Monye,1
500,Noureddine Morceli,1
501,Jos Carlos Gomes Moreira,1
502,Yipsi Moreno Gonzlez,2
503,Sandi Morris,1
504,Melissa Renee Morrison (-Howard),2
505,Dalilah Muhammad,1
506,Mbulaeni Tongai Mulaudzi,1
507,Kirsten Mnchow (-Klose-),1
508,"Timothy Alexander ""Tim"" Munnings",1
509,Koji Alexander Murofushi,2
510,Clayton Murphy,1
511,Oana Manuela Muunoi-Pantelimon,1
512,Abel Kiprop Mutai,1
513,Maria de Lurdes Mutola,2
514,Ludmila Viktorovna Narozhilenko-Engquist (Leonova-),1
515,Dilshod Nazarov,1
516,Nataliya Viktorovna Nazarova,3
517,"Wincatherine Nyambura ""Catherine"" Ndereba",2
518,Daryll Saskia Neita,1
519,Bryshon Lorenzo Nellum,1
520,Adam McCright Nelson,2
521,"Stefanie ""Steffi"" Nerius",1
522,Yuliya Viktorovna Nesterenko (Bartsevich-),1
523,David Neville,2
524,Stephen Newbold,1
525,Noah Kiprono Ngeny,1
526,Yelena Nikolayevna Nikolayeva (Kuznetsova-),1
527,Vnuste Niyongabo,1
528,Francine Niyonsaba,1
529,Denis Gennadyevich Nizhegorodov,2
530,Mizuki Noguchi,1
531,Erki Nool,1
532,Wojciech Nowicki,1
533,"Daniel Dion ""Dan"" O'Brien",1
534,Christina Obergfll,2
535,Francis Obiorah Obikwelu,1
536,Hellen Onsando Obiri,1
537,Isabella Bosibori Ochichi,1
538,Falilat Ogunkoya (-Osheku),2
539,Christine Ijeoma Chika Ohuruogu,3
540,Blessing Okagbare (-Ighoteguonor),1
541,Courtney Okolo,1
542,"Carl Oliver, Jr.",1
543,David Oliver,1
544,Joachim Brchner Olsen,1
545,John Christian Bert Olsson,1
546,"Nwanyika Jenete C. ""Anyika"" Onuora",1
547,"Nkemdilim ""Mary"" Onyali-Omagbemi",1
548,"Fredrick Momanyi ""Fred"" Onyancha",1
549,Charity Opara (-Asonze),1
550,Marian Oprea,1
551,Mark Sebastian Clive Ormrod,1
552,Orlando Ortega Alejo,1
553,Sonia O'Sullivan,1
554,"Oludamola Bolanle ""Damola"" Osayomi",1
555,Agnes Osazuwa (-Olatunji),1
556,Nadezhda Nikolayevna Ostapchuk,1
557,Merlene Joyce Ottey-Page,5
558,Bjrn Otto,1
559,lodie Oudraogo,1
560,Olena Anatolivna Ovcharova-Krasovska,1
561,Hansle George Parchment,1
562,Krisztin Pars,1
563,Artur Jerzy Partyka,1
564,Darvis Darell Patton,1
565,David Thorn Payne,1
566,Ivn Lzaro Pedroso Soler,1
567,Larisa Aleksandrovna Peleshenko (Agapova-),1
568,Marie-Jos Juliana Prec (Hontas-),2
569,Jefferson Leonardo Prez Quezada,2
570,Luis Alberto Prez Rionda,1
571,Sandra Perkovi,2
572,Elisabetta Perrone,1
573,Nanceen Lavern Perry,1
574,Pierre-Alexis Pessonneaux,1
575,Tatyana Valeryevna Petrova-Arkhipova,1
576,Asha Solette Philip,1
577,Dwight D. Phillips,1
578,Oleksandr Serhiyovych P'iatnytsia,1
579,Demetrius Rashad Pinder,1
580,Darya Vitalyevna Pishchalnikova,1
581,Tero Kristian Pitkmki,1
582,Ronald Pognon,1
583,Yekaterina Ivanovna Poistogova (Zavyalova-),1
584,Yevgeniya Yevgeniyevna Polyakova,1
585,Catherine Pomales-Scott (Blackwood-),1
586,Vra Pospilov-Cechlov,1
587,Olesia Ivanivna Povkh,1
588,Asafa Kehine Powell,1
589,Irina Anatolyevna Privalova (Sergeyeva-),2
590,Yelena Vladimirovna Prokhorova,1
591,Yanina Dislavovna Provalinskaya-Karolchik,1
592,Qieyang Shenjie,1
593,Yoelbi Luis Quesada Fernndez,1
594,Ana Fidelia Quirot Mor,1
595,Heli Orvokki Rantanen,1
596,Seppo Henrik Rty,1
597,Brittney Davon Reese,2
598,Edson Luciano Ribeiro,2
599,Maria Fernanda Moreira Ribeiro,2
600,"Alexandra Angela ""Sandie"" Richards",2
601,Sanya Richards-Ross,5
602,Jason Alexander Richardson,1
603,Mark Ashton Richardson,1
604,Passion J. Richardson,1
605,Lars Peter Riedel,2
606,Mariya Vitalivna Riemien,1
607,Elisa Rigaudo,1
608,Fatuma Roba,1
609,Mlina Robert-Michon,1
610,Gil Roberts,1
611,Garth Barrington Robinson,1
612,Moushaumi Robinson,1
613,Dayron Robles Planes,1
614,Andrew Rock,1
615,Vebjrn Rodal,1
616,Brendon Rodney,1
617,Anna Rogowska,1
618,Uta Rohlnder (-Fromm),1
619,Thomas Rhler,1
620,Yulimar del Valle Rojas Rodrguez,1
621,Brianna Rollins,1
622,Martyn Joseph Rooney,1
623,Jason Rouser,1
624,Anja Rcker,1
625,David Lekuta Rudisha,2
626,Galen Rupp,2
627,Alonzo Russell,1
628,Gillian Claire Russell (-Love),1
629,"Gregory James ""Greg"" Rutherford",2
630,Antti Hermanni Ruuskanen,1
631,Yaroslav Vladimirovich Rybakov,1
632,Olga Sergeyevna Rypakova (Alekseyeva-),2
633,Nataliya Ivanovna Sadova (Kaptyukh-),2
634,Assa Djabir Sad-Guerni,1
635,Ali Sadi-Sief,1
636,Irving Jahir Saladino Arana,1
637,Olha Valerivna Saladukha (-Kostyuk),1
638,Gulnara Iskanderovna Samitova-Galkina,1
639,Flix Snchez Marcelo,2
640,Joel Snchez Guerrero,1
641,Leevan Sands,1
642,Lugueln Miguel Santos Aquino,1
643,Jane Kara Saville (-White),1
644,Mariya Sergeyevna Savinova (-Farnosova),1
645,"Nataliya Vyacheslavovna ""Natasha"" Sazanovich",2
646,Dafne Schippers,1
647,Nils Schumann,1
648,Florian Schwarthoff,1
649,Lilli Schwarzkopf,1
650,Alex Schwazer,1
651,Roman ebrle,2
652,Bernardo Segura Rivera,1
653,Mokgadi Caster Semenya,2
654,Hezekiel Sello Sepeng,1
655,Mikhail Anatolyevich Shchennikov,1
656,Roman Anatoliyovych Shchurenko,1
657,Olga Vasilyevna Shishigina (-Kutsakova),1
658,Svetlana Vladimirovna Shkolina,1
659,Ghada Shouaa,1
660,Si Tianfeng,1
661,Sileshi Mekuria Sihine,2
662,Andrey Aleksandrovich Silnov,1
